feature_selection_method,ratio,model_name,sn,sp,acc,mcc,auc
LR,0.1,LR,0.5,0.36363636363636365,0.4444444444444444,-0.08257228238447704,0.43181818181818177
LR,0.2,LR,0.5,0.36363636363636365,0.4444444444444444,-0.08257228238447704,0.43181818181818177
LR,0.3,LR,0.5625,0.36363636363636365,0.48148148148148145,-0.04629648418672792,0.4630681818181819
LR,0.4,LR,0.5625,0.5454545454545454,0.5555555555555556,0.05906206184211177,0.5539772727272727
LR,0.5,LR,0.5625,0.5454545454545454,0.5555555555555556,0.05906206184211177,0.5539772727272727
LR,0.6,LR,0.5625,0.5454545454545454,0.5555555555555556,0.05906206184211177,0.5539772727272727
LR,0.7,LR,0.5625,0.5454545454545454,0.5555555555555556,0.05906206184211177,0.5539772727272727
LR,0.8,LR,0.5625,0.5454545454545454,0.5555555555555556,0.05906206184211177,0.5539772727272727
LR,0.9,LR,0.5625,0.5454545454545454,0.5555555555555556,0.05906206184211177,0.5539772727272727
LR,1,LR,0.5625,0.5454545454545454,0.5555555555555556,0.05906206184211177,0.5539772727272727
